date;mix_name;cement;sand;gravel;water;plasticizer_kg;plasticizer_type;fly_ash;microsilica_kg;microsilica_type;pm;kmv;mineral_powder;mineral_additive;dolomite;ak5;ak6;strength_1;strength_3;strength_7;strength_28
03.02.2021;Синтетический состав 4;320,0;840,0;1010,0;180,0;2,68;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,2;25,5;27,5;33,8
03.02.2021;Синтетический состав 9;337,0;823,0;1010,0;180,0;3,01;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,7;25,5;27,6;33,6
03.02.2021;Синтетический состав 12;326,0;834,0;1010,0;180,0;2,83;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16,1;24,7;27,2;33,2
03.02.2021;Синтетический состав 15;320,0;840,0;1010,0;180,0;2,62;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,2;25,5;27,5;33,8
10.02.2021;Синтетический состав 17;320,0;840,0;1010,0;180,0;2,62;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,2;25,5;27,5;33,8
15.02.2021;Синтетический состав 20;306,0;840,0;1010,0;180,0;2,56;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;14,2;0,0;0,0;0,0;17,7;27,0;33,3;41,0
21.02.2021;Синтетический состав 21;318,0;843,0;1010,0;180,0;2,69;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,7;27,0;33,3;41,0
03.03.2021;Синтетический состав 23;330,0;830,0;1010,0;180,0;2,89;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,7;25,5;27,6;33,6
07.03.2021;Синтетический состав 25;325,0;835,0;1010,0;180,0;2,81;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16,1;24,7;27,2;33,2
07.03.2021;Синтетический состав 26;320,0;840,0;1010,0;180,0;2,6;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,2;25,5;27,5;33,8
19.03.2021;Синтетический состав 29;323,0;837,0;1010,0;180,0;2,62;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,2;25,5;27,5;33,8
20.03.2021;Синтетический состав 30;298,0;840,0;1010,0;180,0;2,63;ST 4.3.1.;0,0;0,0;;0,0;0,0;22,0;0,0;0,0;0,0;0,0;17,7;27,0;33,3;41,0
24.03.2021;Синтетический состав 33;326,0;834,0;1010,0;180,0;2,83;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16,1;24,7;27,2;33,2
26.03.2021;Синтетический состав 35;316,0;847,0;1010,0;180,0;2,64;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,7;27,0;33,3;41,0
03.04.2021;Синтетический состав 36;317,0;846,0;1010,0;180,0;2,66;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,7;27,0;33,3;41,0
07.04.2021;Синтетический состав 37;334,0;826,0;1010,0;180,0;2,91;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,7;25,5;27,6;33,6
12.04.2021;Синтетический состав 38;320,0;840,0;1010,0;180,0;2,71;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,2;25,5;27,5;33,8
20.04.2021;Синтетический состав 39;313,0;844,0;1014,0;180,0;2,67;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,7;27,0;33,3;41,0
23.04.2021;Синтетический состав 40;314,0;840,0;1010,0;180,0;2,56;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;6,1;0,0;0,0;0,0;17,7;27,0;33,3;41,0
27.04.2021;Синтетический состав 41;336,0;820,0;1010,0;181,0;3,04;ST 4.3.1.;0,0;0,0;;0,0;0,0;2,9;0,0;0,0;0,0;0,0;15,7;25,5;27,6;33,6
27.04.2021;Синтетический состав 42;307,0;857,0;1013,0;180,0;2,62;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,7;27,0;33,3;41,0
28.04.2021;Синтетический состав 43;326,0;834,0;1010,0;180,0;2,83;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16,1;24,7;27,2;33,2
02.05.2021;Синтетический состав 45;338,0;819,0;1000,0;181,0;3,03;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,1;27,2;27,6;36,7
10.05.2021;Синтетический состав 47;318,0;844,0;1010,0;180,0;2,55;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,7;27,0;33,3;41,0
11.05.2021;Синтетический состав 49;321,0;839,0;1010,0;180,0;2,74;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,2;25,5;27,5;33,8
13.05.2021;Синтетический состав 50;323,0;837,0;1010,0;180,0;2,65;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,2;25,5;27,5;33,8
14.05.2021;Синтетический состав 51;333,0;827,0;1010,0;180,0;2,89;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,7;25,5;27,6;33,6
18.05.2021;Синтетический состав 54;316,0;840,0;1010,0;180,0;2,56;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;4,5;0,0;0,0;0,0;17,7;27,0;33,3;41,0
24.05.2021;Синтетический состав 55;326,0;834,0;1010,0;180,0;2,83;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16,1;24,7;27,2;33,2
25.05.2021;Синтетический состав 56;315,0;850,0;1010,0;180,0;2,61;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,7;27,0;33,3;41,0
01.06.2021;Синтетический состав 57;302,0;856,0;1010,0;180,0;2,51;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;9,9;0,0;0,0;0,0;17,7;27,0;33,3;41,0
07.06.2021;Синтетический состав 60;329,0;831,0;1010,0;180,0;2,78;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,7;25,5;27,6;33,6
10.06.2021;Синтетический состав 61;335,0;825,0;1010,0;180,0;2,97;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,7;25,5;27,6;33,6
10.06.2021;Синтетический состав 62;304,0;824,0;1009,0;187,0;2,84;ST 4.3.1.;0,0;0,0;;0,0;0,0;28,0;0,0;0,0;0,0;0,0;14,2;24,0;28,0;35,8
13.06.2021;Синтетический состав 63;317,0;846,0;1010,0;180,0;2,54;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,7;27,0;33,3;41,0
17.06.2021;Синтетический состав 64;332,0;828,0;1010,0;180,0;2,85;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,7;25,5;27,6;33,6
02.07.2021;Синтетический состав 67;303,0;824,0;1009,0;187,0;2,84;ST 4.3.1.;0,0;0,0;;0,0;0,0;28,5;0,0;0,0;0,0;0,0;14,2;24,0;28,0;35,8
06.07.2021;Синтетический состав 72;304,0;854,0;1016,0;180,0;2,72;ST 4.3.3.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,7;27,0;33,3;41,0
08.07.2021;Синтетический состав 75;317,0;846,0;1010,0;180,0;2,65;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,7;27,0;33,3;41,0
19.07.2021;Синтетический состав 78;337,0;818,0;993,0;181,0;3,02;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,1;27,2;27,6;36,7
12.08.2021;Синтетический состав 87;311,0;834,0;1010,0;183,0;2,65;ST 4.3.1.;0,0;0,0;;0,0;0,0;12,8;0,0;0,0;0,0;0,0;15,1;25,2;30,5;38,3
04.09.2021;Синтетический состав 99;314,0;836,0;1010,0;182,0;2,63;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;9,0;0,0;0,0;16,2;25,8;31,8;39,4
17.09.2021;Синтетический состав 107;304,0;829,0;1009,0;186,0;2,78;ST 4.3.1.;0,0;0,0;;0,0;0,0;23,2;0,0;0,0;0,0;0,0;15,1;25,2;30,5;38,3
19.09.2021;Синтетический состав 109;311,0;834,0;1010,0;183,0;2,66;ST 4.3.1.;0,0;0,0;;0,0;0,0;13,5;0,0;0,0;0,0;0,0;15,1;25,2;30,5;38,3
20.09.2021;Синтетический состав 110;311,0;834,0;1010,0;183,0;2,66;ST 4.3.1.;0,0;0,0;;0,0;0,0;13,6;0,0;0,0;0,0;0,0;15,1;25,2;30,5;38,3
05.04.2023;Синтетический состав 112;294,0;848,0;1018,0;180,0;2,82;ST 4.3.3.;0,0;0,0;;0,0;0,0;10,3;0,0;0,0;0,0;0,0;17,7;27,0;33,3;41,0
05.05.2023;Синтетический состав 113;309,0;859,0;1011,0;180,0;2,52;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,7;27,0;33,3;41,0
10.05.2023;Синтетический состав 114;318,0;841,0;1011,0;180,0;2,73;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,7;27,0;33,3;41,0
02.06.2023;Синтетический состав 115;302,0;852,0;1018,0;180,0;2,79;ST 4.3.3.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,7;27,0;33,3;41,0
