cement,sand,gravel,water,plasticizer_kg,fly_ash,microsilica_kg,strength_1,strength_3,strength_7,strength_28,source,imputed_early
264.0,844.0,1012.0,180.0,2.64,0.0,0.0,15.9,24.9,30.9,38.1,synthetic,0
270.0,837.0,1012.0,180.0,2.7,0.0,0.0,15.9,24.9,30.9,38.1,synthetic,0
272.0,840.0,1010.0,180.0,2.67,0.0,0.0,18.1,26.5,32.4,39.8,synthetic,0
320.0,840.0,1010.0,180.0,2.68,0.0,0.0,17.2,25.5,27.5,33.8,synthetic,0
272.0,840.0,1010.0,180.0,2.68,0.0,0.0,18.1,26.5,32.4,39.8,synthetic,0
272.0,840.0,1010.0,180.0,2.71,0.0,0.0,18.1,26.5,32.4,39.8,synthetic,0
266.0,834.0,1014.0,180.0,2.62,0.0,0.0,15.4,25.1,30.8,38.2,synthetic,0
250.0,850.0,1015.0,180.0,2.49,0.0,0.0,16.1,25.0,30.9,37.6,synthetic,0
337.0,823.0,1010.0,180.0,3.01,0.0,0.0,15.7,25.5,27.6,33.6,synthetic,0
280.0,840.0,1010.0,180.0,2.56,0.0,0.0,17.4,26.6,33.2,41.2,synthetic,0
272.0,840.0,1010.0,180.0,2.63,0.0,0.0,15.9,25.4,31.5,39.1,synthetic,0
326.0,834.0,1010.0,180.0,2.83,0.0,0.0,16.1,24.7,27.2,33.2,synthetic,0
282.0,840.0,1010.0,180.0,2.69,0.0,0.0,17.4,26.6,33.2,41.2,synthetic,0
279.0,843.0,1013.0,180.0,2.75,0.0,0.0,18.1,26.5,32.4,39.8,synthetic,0
320.0,840.0,1010.0,180.0,2.62,0.0,0.0,17.2,25.5,27.5,33.8,synthetic,0
280.0,840.0,1010.0,180.0,2.69,0.0,0.0,17.4,26.6,33.2,41.2,synthetic,0
320.0,840.0,1010.0,180.0,2.62,0.0,0.0,17.2,25.5,27.5,33.8,synthetic,0
251.0,850.0,1015.0,180.0,2.51,0.0,0.0,16.1,25.0,30.9,37.6,synthetic,0
272.0,840.0,1010.0,180.0,2.63,0.0,0.0,15.9,25.4,31.5,39.1,synthetic,0
306.0,840.0,1010.0,180.0,2.56,0.0,0.0,17.7,27.0,33.3,41.0,synthetic,0
318.0,843.0,1010.0,180.0,2.69,0.0,0.0,17.7,27.0,33.3,41.0,synthetic,0
278.0,840.0,1010.0,180.0,2.72,0.0,0.0,18.1,26.5,32.4,39.8,synthetic,0
330.0,830.0,1010.0,180.0,2.89,0.0,0.0,15.7,25.5,27.6,33.6,synthetic,0
289.0,846.0,1016.0,180.0,2.8,0.0,0.0,17.4,26.6,33.2,41.2,synthetic,0
325.0,835.0,1010.0,180.0,2.81,0.0,0.0,16.1,24.7,27.2,33.2,synthetic,0
320.0,840.0,1010.0,180.0,2.6,0.0,0.0,17.2,25.5,27.5,33.8,synthetic,0
286.0,845.0,1015.0,180.0,2.78,0.0,0.0,17.4,26.6,33.2,41.2,synthetic,0
267.0,842.0,1011.0,180.0,2.67,0.0,0.0,15.9,24.9,30.9,38.1,synthetic,0
323.0,837.0,1010.0,180.0,2.62,0.0,0.0,17.2,25.5,27.5,33.8,synthetic,0
298.0,840.0,1010.0,180.0,2.63,0.0,0.0,17.7,27.0,33.3,41.0,synthetic,0
266.0,833.0,1014.0,180.0,2.66,0.0,0.0,15.4,25.1,30.8,38.2,synthetic,0
259.0,846.0,1013.0,180.0,2.59,0.0,0.0,17.0,25.9,31.3,38.4,synthetic,0
326.0,834.0,1010.0,180.0,2.83,0.0,0.0,16.1,24.7,27.2,33.2,synthetic,0
270.0,841.0,1010.0,180.0,2.7,0.0,0.0,15.9,24.9,30.9,38.1,synthetic,0
316.0,847.0,1010.0,180.0,2.64,0.0,0.0,17.7,27.0,33.3,41.0,synthetic,0
317.0,846.0,1010.0,180.0,2.66,0.0,0.0,17.7,27.0,33.3,41.0,synthetic,0
334.0,826.0,1010.0,180.0,2.91,0.0,0.0,15.7,25.5,27.6,33.6,synthetic,0
320.0,840.0,1010.0,180.0,2.71,0.0,0.0,17.2,25.5,27.5,33.8,synthetic,0
313.0,844.0,1014.0,180.0,2.67,0.0,0.0,17.7,27.0,33.3,41.0,synthetic,0
314.0,840.0,1010.0,180.0,2.56,0.0,0.0,17.7,27.0,33.3,41.0,synthetic,0
336.0,820.0,1010.0,181.0,3.04,0.0,0.0,15.7,25.5,27.6,33.6,synthetic,0
307.0,857.0,1013.0,180.0,2.62,0.0,0.0,17.7,27.0,33.3,41.0,synthetic,0
326.0,834.0,1010.0,180.0,2.83,0.0,0.0,16.1,24.7,27.2,33.2,synthetic,0
285.0,854.0,964.0,187.0,0.83,0.0,0.0,11.7,14.0,21.8,28.8,synthetic,0
338.0,819.0,1000.0,181.0,3.03,0.0,0.0,17.1,27.2,27.6,36.7,synthetic,0
287.0,853.0,962.0,186.0,1.03,0.0,0.0,11.7,14.0,21.8,28.8,synthetic,0
318.0,844.0,1010.0,180.0,2.55,0.0,0.0,17.7,27.0,33.3,41.0,synthetic,0
255.0,852.0,1015.0,180.0,2.48,0.0,0.0,16.1,25.0,30.9,37.6,synthetic,0
321.0,839.0,1010.0,180.0,2.74,0.0,0.0,17.2,25.5,27.5,33.8,synthetic,0
323.0,837.0,1010.0,180.0,2.65,0.0,0.0,17.2,25.5,27.5,33.8,synthetic,0
333.0,827.0,1010.0,180.0,2.89,0.0,0.0,15.7,25.5,27.6,33.6,synthetic,0
291.0,852.0,960.0,184.0,1.5,0.0,0.0,11.7,14.0,21.8,28.8,synthetic,0
