cement,sand,gravel,water,plasticizer_kg,fly_ash,microsilica_kg,source_synthetic,source_boxcrete,source_normal_concrete,strength_1,strength_3,strength_7,strength_28,strength_1_weight,strength_3_weight,strength_7_weight,strength_28_weight,source,imputed_early
264.0,844.0,1012.0,180.0,2.64,0.0,0.0,1,0,0,15.9,24.9,30.9,38.1,1.0,1.0,1.0,1.0,synthetic,0
270.0,837.0,1012.0,180.0,2.7,0.0,0.0,1,0,0,15.9,24.9,30.9,38.1,1.0,1.0,1.0,1.0,synthetic,0
272.0,840.0,1010.0,180.0,2.67,0.0,0.0,1,0,0,18.1,26.5,32.4,39.8,1.0,1.0,1.0,1.0,synthetic,0
320.0,840.0,1010.0,180.0,2.68,0.0,0.0,1,0,0,17.2,25.5,27.5,33.8,1.0,1.0,1.0,1.0,synthetic,0
272.0,840.0,1010.0,180.0,2.68,0.0,0.0,1,0,0,18.1,26.5,32.4,39.8,1.0,1.0,1.0,1.0,synthetic,0
272.0,840.0,1010.0,180.0,2.71,0.0,0.0,1,0,0,18.1,26.5,32.4,39.8,1.0,1.0,1.0,1.0,synthetic,0
266.0,834.0,1014.0,180.0,2.62,0.0,0.0,1,0,0,15.4,25.1,30.8,38.2,1.0,1.0,1.0,1.0,synthetic,0
250.0,850.0,1015.0,180.0,2.49,0.0,0.0,1,0,0,16.1,25.0,30.9,37.6,1.0,1.0,1.0,1.0,synthetic,0
337.0,823.0,1010.0,180.0,3.01,0.0,0.0,1,0,0,15.7,25.5,27.6,33.6,1.0,1.0,1.0,1.0,synthetic,0
280.0,840.0,1010.0,180.0,2.56,0.0,0.0,1,0,0,17.4,26.6,33.2,41.2,1.0,1.0,1.0,1.0,synthetic,0
272.0,840.0,1010.0,180.0,2.63,0.0,0.0,1,0,0,15.9,25.4,31.5,39.1,1.0,1.0,1.0,1.0,synthetic,0
326.0,834.0,1010.0,180.0,2.83,0.0,0.0,1,0,0,16.1,24.7,27.2,33.2,1.0,1.0,1.0,1.0,synthetic,0
282.0,840.0,1010.0,180.0,2.69,0.0,0.0,1,0,0,17.4,26.6,33.2,41.2,1.0,1.0,1.0,1.0,synthetic,0
279.0,843.0,1013.0,180.0,2.75,0.0,0.0,1,0,0,18.1,26.5,32.4,39.8,1.0,1.0,1.0,1.0,synthetic,0
320.0,840.0,1010.0,180.0,2.62,0.0,0.0,1,0,0,17.2,25.5,27.5,33.8,1.0,1.0,1.0,1.0,synthetic,0
280.0,840.0,1010.0,180.0,2.69,0.0,0.0,1,0,0,17.4,26.6,33.2,41.2,1.0,1.0,1.0,1.0,synthetic,0
320.0,840.0,1010.0,180.0,2.62,0.0,0.0,1,0,0,17.2,25.5,27.5,33.8,1.0,1.0,1.0,1.0,synthetic,0
251.0,850.0,1015.0,180.0,2.51,0.0,0.0,1,0,0,16.1,25.0,30.9,37.6,1.0,1.0,1.0,1.0,synthetic,0
272.0,840.0,1010.0,180.0,2.63,0.0,0.0,1,0,0,15.9,25.4,31.5,39.1,1.0,1.0,1.0,1.0,synthetic,0
