cement,slag_kg,fly_ash,microsilica_kg,water,plasticizer_kg,gravel,sand,age,slump,strength_28,source,strength_1,strength_3,strength_7
273.0,82.0,105.0,0.0,210.0,9.0,904.0,680.0,28,230.0,34.99,UCI_Slump_Test_Yeh2007,,,
163.0,149.0,191.0,0.0,180.0,12.0,843.0,746.0,28,0.0,41.14,UCI_Slump_Test_Yeh2007,,,
162.0,148.0,191.0,0.0,179.0,16.0,840.0,743.0,28,10.0,41.81,UCI_Slump_Test_Yeh2007,,,
162.0,148.0,190.0,0.0,179.0,19.0,838.0,741.0,28,30.0,42.08,UCI_Slump_Test_Yeh2007,,,
154.0,112.0,144.0,0.0,220.0,10.0,923.0,658.0,28,200.0,26.82,UCI_Slump_Test_Yeh2007,,,
147.0,89.0,115.0,0.0,202.0,9.0,860.0,829.0,28,230.0,25.21,UCI_Slump_Test_Yeh2007,,,
152.0,139.0,178.0,0.0,168.0,18.0,944.0,695.0,28,0.0,38.86,UCI_Slump_Test_Yeh2007,,,
145.0,0.0,227.0,0.0,240.0,6.0,750.0,853.0,28,145.0,36.59,UCI_Slump_Test_Yeh2007,,,
152.0,0.0,237.0,0.0,204.0,6.0,785.0,892.0,28,155.0,32.71,UCI_Slump_Test_Yeh2007,,,
304.0,0.0,140.0,0.0,214.0,6.0,895.0,722.0,28,190.0,38.46,UCI_Slump_Test_Yeh2007,,,
145.0,106.0,136.0,0.0,208.0,10.0,751.0,883.0,28,245.0,26.02,UCI_Slump_Test_Yeh2007,,,
148.0,109.0,139.0,0.0,193.0,7.0,768.0,902.0,28,237.5,28.03,UCI_Slump_Test_Yeh2007,,,
142.0,130.0,167.0,0.0,215.0,6.0,735.0,836.0,28,255.0,31.37,UCI_Slump_Test_Yeh2007,,,
354.0,0.0,0.0,0.0,234.0,6.0,959.0,691.0,28,170.0,33.91,UCI_Slump_Test_Yeh2007,,,
374.0,0.0,0.0,0.0,190.0,7.0,,730.0,28,145.0,32.44,UCI_Slump_Test_Yeh2007,,,
159.0,116.0,149.0,0.0,175.0,15.0,953.0,720.0,28,235.0,34.05,UCI_Slump_Test_Yeh2007,,,
153.0,0.0,239.0,0.0,200.0,6.0,,684.0,28,120.0,28.29,UCI_Slump_Test_Yeh2007,,,
295.0,106.0,136.0,0.0,206.0,11.0,750.0,766.0,28,250.0,41.01,UCI_Slump_Test_Yeh2007,,,
310.0,0.0,143.0,0.0,168.0,10.0,914.0,804.0,28,205.0,49.3,UCI_Slump_Test_Yeh2007,,,
296.0,97.0,0.0,0.0,219.0,9.0,932.0,685.0,28,150.0,29.23,UCI_Slump_Test_Yeh2007,,,
305.0,100.0,0.0,0.0,196.0,10.0,959.0,705.0,28,200.0,29.77,UCI_Slump_Test_Yeh2007,,,
310.0,0.0,143.0,0.0,218.0,10.0,787.0,804.0,28,130.0,36.19,UCI_Slump_Test_Yeh2007,,,
148.0,180.0,0.0,0.0,183.0,11.0,972.0,757.0,28,0.0,18.52,UCI_Slump_Test_Yeh2007,,,
146.0,178.0,0.0,0.0,192.0,11.0,961.0,749.0,28,180.0,17.19,UCI_Slump_Test_Yeh2007,,,
142.0,130.0,167.0,0.0,174.0,11.0,883.0,785.0,28,0.0,36.72,UCI_Slump_Test_Yeh2007,,,
140.0,128.0,164.0,0.0,183.0,12.0,871.0,775.0,28,237.5,33.38,UCI_Slump_Test_Yeh2007,,,
308.0,111.0,142.0,0.0,217.0,10.0,783.0,686.0,28,250.0,42.08,UCI_Slump_Test_Yeh2007,,,
295.0,106.0,136.0,0.0,208.0,6.0,871.0,650.0,28,265.0,39.4,UCI_Slump_Test_Yeh2007,,,
298.0,107.0,137.0,0.0,201.0,6.0,878.0,655.0,28,160.0,41.27,UCI_Slump_Test_Yeh2007,,,
314.0,0.0,161.0,0.0,207.0,6.0,851.0,757.0,28,215.0,41.14,UCI_Slump_Test_Yeh2007,,,
321.0,0.0,164.0,0.0,190.0,5.0,870.0,774.0,28,240.0,45.82,UCI_Slump_Test_Yeh2007,,,
349.0,0.0,178.0,0.0,230.0,6.0,785.0,721.0,28,200.0,43.95,UCI_Slump_Test_Yeh2007,,,
366.0,0.0,187.0,0.0,191.0,7.0,824.0,757.0,28,247.5,52.65,UCI_Slump_Test_Yeh2007,,,
274.0,89.0,115.0,0.0,202.0,9.0,759.0,827.0,28,265.0,35.52,UCI_Slump_Test_Yeh2007,,,
137.0,167.0,214.0,0.0,226.0,6.0,708.0,757.0,28,275.0,34.45,UCI_Slump_Test_Yeh2007,,,
275.0,99.0,127.0,0.0,184.0,13.0,810.0,790.0,28,257.5,43.54,UCI_Slump_Test_Yeh2007,,,
252.0,76.0,97.0,0.0,194.0,8.0,835.0,821.0,28,230.0,33.11,UCI_Slump_Test_Yeh2007,,,
165.0,150.0,0.0,0.0,182.0,12.0,,729.0,28,145.0,18.26,UCI_Slump_Test_Yeh2007,,,
158.0,0.0,246.0,0.0,174.0,7.0,,706.0,28,190.0,34.99,UCI_Slump_Test_Yeh2007,,,
156.0,0.0,243.0,0.0,180.0,11.0,,698.0,28,210.0,33.78,UCI_Slump_Test_Yeh2007,,,
145.0,177.0,227.0,0.0,209.0,11.0,752.0,715.0,28,25.0,35.66,UCI_Slump_Test_Yeh2007,,,
154.0,141.0,181.0,0.0,234.0,11.0,797.0,683.0,28,230.0,33.51,UCI_Slump_Test_Yeh2007,,,
160.0,146.0,188.0,0.0,203.0,11.0,829.0,710.0,28,130.0,33.51,UCI_Slump_Test_Yeh2007,,,
291.0,105.0,0.0,0.0,205.0,6.0,859.0,797.0,28,240.0,27.62,UCI_Slump_Test_Yeh2007,,,
298.0,107.0,0.0,0.0,186.0,6.0,879.0,815.0,28,30.0,30.97,UCI_Slump_Test_Yeh2007,,,
318.0,126.0,0.0,0.0,210.0,6.0,861.0,737.0,28,175.0,31.77,UCI_Slump_Test_Yeh2007,,,
280.0,92.0,118.0,0.0,207.0,9.0,883.0,679.0,28,255.0,37.39,UCI_Slump_Test_Yeh2007,,,
287.0,94.0,121.0,0.0,188.0,9.0,904.0,696.0,28,250.0,43.01,UCI_Slump_Test_Yeh2007,,,
